nombre_del_producto|precio
huevos a la mexicana|40
huevos rancheros|35
huevos motuleño|50
huevos estrellados(con arroz)|25
omelet |50
huevos divorciados|6
pechuga empanizada|40
chilaquiles chicos|35
chilaquiles solo con huevo|25
enchiladas de pollo|50
enmoladas de pollo|50
tacos dorados jamon|30
tacos dorados pollo|45
sincronisadas de jamon|40
toratas de carnitas,bisteck o pechuga|35
cafe de olla|8
nescafe|12
cafe con leche|20
jugo de naranja|28
